,description,len
lsmd_cont_uq111_202308,"lsmd_cont_uq111_202308: 연속주제 국토계획/도시지역에 대한 지리적 정보를 포함하는 테이블입니다. 테이블에는 GID, MNUM, SGG_OID, COL_ADM_SE, NTFDATE, ALIAS, REMARK, GEOM 등의 열이 있습니다. 이 테이블은 2023년 8월 기준으로 UQ111 지구에 대한 국토계획/도시지역 정보를 제공합니다.",197
property_apt_202302,"table_name: property_apt_202302
description: 아파트 정보 테이블, 전용면적, 건축연도, 관리비 등 다양한 정보를 포함합니다. (150자 이내)",99
property_cafe,"table_name: property_cafe
description: 이디야, 메가커피, 파스쿠찌 등 다양한 브랜드의 카페 정보를 포함하는 테이블입니다. 각 카페는 GID, 주소, 사업장명, 브랜드, 지리좌표 등의 정보를 제공합니다.",130
property_hospital,"property_hospital: 병원 정보를 저장하는 테이블로, 각 병원의 기본 정보와 특성 등을 포함합니다. 이 테이블은 병원 이름, 주소, 전화번호, 개설일자, 입원실 수, 수술실 수 등 다양한 정보를 제공하여 사용자가 원하는 병원을 쉽게 찾을 수 있도록 도와줍니다. 또한, 이 테이블은 병원의 종별 코드, 설립 구분 코드, 시도 코드, 시군구 코드 등을 포함하고 있어, 사용자는 병원에 대한 추가적인 정보를 얻을 수 있습니다. 이 테이블은 다양한 데이터 분석과 병원 관리에 활용될 수 있는 중요한 정보를 제공합니다. (150자)",299
property_community,"table_name: property_community
description: 행정복지센터의 주소, 지번주소, 경위도좌표, 정제도로명주소 등이 포함된 테이블입니다. 각 행은 한 개의 행정복지센터를 나타내고, 열은 해당 정보를 제공합니다. 이 테이블을 통해 행정복지센터의 위치와 주소를 확인할 수 있습니다.",170
property_police,"table_name: property_police
description: 경찰서의 지리적 정보와 주소, PNU 등이 포함된 테이블입니다. 이 테이블은 각 경찰서의 위치를 확인하고, 주소를 찾는 데 사용됩니다. 또한, PNU를 통해 해당 지역의 지번 주소를 찾을 수 있습니다. 이 테이블은 경찰서의 효율적인 운영과 관리에 도움이 됩니다. (150자 이내)",197
property_post,"table_name: property_post
description: 우체국에서 제공하는 부동산 정보를 저장하는 테이블로, 각 행은 부동산의 고유 ID, 주소, 지리좌표, 우편번호 등 다양한 정보를 포함합니다. 이 테이블을 통해 우체국에서는 부동산의 위치와 정보를 확인하고 관리할 수 있습니다. (150자 이내)",174
property_park,"table_name: property_park
description: 공원, 근린공원, 어린이공원 등의 정보를 포함하는 테이블입니다. 각 공원의 위치, 면적, 시설 등이 기록되어 있습니다. (150자 이내)",115
property_fitness,"table_name: property_fitness
description: 헬스장의 정보를 포함하는 테이블로, 각 행은 한 헬스장을 나타내고 열은 해당 헬스장의 속성(예: 위치, 전화번호, 영업상태 등)을 포함합니다. 이 테이블을 통해 헬스장의 정보를 검색, 정렬, 분석할 수 있습니다.",160
property_pool,"property_pool: 수영장, 체육관 등의 시설 정보를 저장하는 테이블입니다. 각 시설의 위치, 운영상태, 회원수 등 다양한 정보가 포함되어 있습니다. 이 테이블은 데이터 분석 및 시설 관리에 활용됩니다. (150자)",124
property_convenience,"table_name: property_convenience
description: 편의점, 휴게음식점 등의 상권 정보를 제공하는 테이블입니다. 각 상점의 위치, 주소, 영업상태 등이 포함되어 있습니다. (150자 이내)",122
property_market,"table_name: property_market
description: 대형마트, 이마트, 홈플러스 등 대규모 점포의 정보를 포함하는 테이블입니다. 각 행은 하나의 점포를 나타내고, 열은 해당 점포의 특성과 위치를 설명합니다. 이 테이블을 통해 대형마트의 분포와 특성을 분석할 수 있습니다.",163
property_pharmacy,"table_name: property_pharmacy
description: 약국 정보를 포함하는 테이블로, 약국명, 주소, 전화번호, 영업상태 등 다양한 정보가 저장되어 있다. 이 테이블은 약국을 관리하고 운영하는 데에 사용된다. (150자 이내)",139
property_shopping,"table_name: property_shopping
description: 백화점 및 쇼핑센터의 정보를 포함하는 테이블로, 각 행은 하나의 점포를 나타내고 다양한 속성을 포함합니다. 이 테이블을 통해 백화점과 쇼핑센터의 위치, 영업상태, 전화번호, 면적 등에 대한 정보를 확인할 수 있습니다.",164
property_traditional_market,"table_name: property_traditional_market
description: 전통시장의 정보를 포함하는 테이블로, 시장의 위치, 주소, 영업상태, 좌표 등이 저장되어 있다. 이 테이블은 시장을 관리하고 분석하기 위해 사용된다.",136
property_university,"property_university: 대학, 전문대학, 사립/국립 정보를 포함한 한국의 모든 대학교에 대한 데이터베이스입니다. 각 학교의 기본 정보, 주소, 연락처, 학제 등이 제공됩니다. 345개의 대학교가 포함되어 있습니다. (150자 이내)",137
property_elementary,"table_name: property_elementary
description: 초등학교의 지리적 정보, 학교 특성, 설립 정보 등을 포함하는 테이블입니다. 이 테이블은 초등학교의 위치, 주소, 전화번호, 팩스번호, 홈페이지 등과 같은 기본적인 정보를 제공합니다. 또한, 이 테이블에는 각 초등학교의 설립일, 개교기념일, 학교급코드, 학년구분, 남녀공학 구분 등의 추가 정보가 포함되어 있습니다. 이 테이블은 초등학교에 대한 다양한 정보를 제공하여 교육 관련 연구나 분석을 수행하는 데 도움이 될 수 있습니다.",285
property_high,"table_name: property_high
description: 고등학교의 지리적 정보, 교육청, 학교명, 설립일 등이 포함된 테이블입니다. 이 테이블은 고등학교의 위치와 관련된 속성들을 저장하고 관리합니다.",119
property_kindergarten,"table_name: property_kindergarten
description: 유치원 정보를 포함하는 테이블로, 각 유치원의 기본 정보, 운영 시간, 학급 수, 인가 정원 수 등이 저장되어 있다. 이 테이블은 유치원에 대한 다양한 통계 및 분석을 지원한다.",146
property_middle,"table_name: property_middle
description: 중학교의 속성 정보를 포함하는 테이블로, 각 열은 중학교의 고유 ID, 경위도 좌표, 경위도 우표, 주소 등 다양한 정보를 포함합니다. 이 테이블을 통해 중학교의 위치, 특징, 교육청 등을 확인할 수 있습니다.",158
property_nursery,"table_name: property_nursery
description: 어린이집의 위치, 주소, 정원, 현원, 등 정보를 포함하는 테이블입니다. 이 테이블은 어린이집을 관리하고 운영하는 데 필요한 다양한 정보를 제공합니다.",126
property_bus_station_busan,"table_name: property_bus_station_busan
description: 부산시 버스정류장 정보를 포함하는 테이블로, 버스정류장의 고유 ID, ARS 번호, 정류장 이름, GPS 좌표, 정류장 유형, 및 지오메트리 정보를 저장합니다.",141
property_bus_station_all,"property_bus_station_all: 버스정류장 정보를 저장하는 테이블로, 정류장번호, 정류장명, 위도, 경도, 정보수집일, 모바일단축, 도시코드, 도시명, 관리도시명, geom 등의 속성을 포함합니다. 이 테이블은 버스정류장의 위치와 관련된 정보를 제공하여 버스운행과 관련된 서비스를 지원합니다.",171
z_sop_bnd_sido_pg,"table_name: z_sop_bnd_sido_pg
description: 행정경계 시도(행정동) 정보를 저장하는 테이블로, 각 시도의 경계와 행정동의 정보를 포함합니다. (150자 이내)",106
